juice0_location, pancake0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, cabinet
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, plate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, bookbookplateplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_fridge149, kitchen, bookplateplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentableplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, close_fridge149, kitchen, walktowards_juice333, kitchen, kitchentableplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, open_fridge149, kitchen, fridgejuicekitchentablepoundcake
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, close_fridge149, kitchen, grab_juice333, kitchen, fridgejuicekitchentablepoundcake
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, putback_juice_kitchentable, kitchen, fridgejuicekitchentablepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, coffeepotjuicekitchencabinetkitchentablepancakeplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, OPEN, OFF, grab_pancake334, kitchen, grab_pancake334, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, OPEN, OFF, null, kitchen, close_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, null, kitchen, walktowards_kitchentable123, kitchen, cupcakedishwasherpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, null, kitchen, walktowards_kitchentable123, kitchen, coffeepotcupcakedishwasherjuicekitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, null, kitchen, putback_pancake_kitchentable, kitchen, juicekitchentablepancake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, null, kitchen, null, kitchen, juicekitchentablepancake
