cupcake0_location, juice0_location, poundcake0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, plate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_dishwasher152, kitchen, plateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, close_fridge149, kitchen, walktowards_dishwasher152, kitchen, kitchentableplateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_fridge149, kitchen, fridgejuicekitchentablewine
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, grab_juice333, kitchen, fridgejuicekitchentablewine
INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, putback_juice_kitchentable, kitchen, fridgejuicekitchentablewine
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, open_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, OPEN, OFF, grab_poundcake334, kitchen, walktowards_cupcake332, kitchen, juicekitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, OPEN, OFF, close_dishwasher152, kitchen, walktowards_cupcake332, kitchen, coffeepotjuicekitchencabinetkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, CLOSED, OFF, walktowards_kitchentable123, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, OPEN, OFF, walktowards_kitchentable123, kitchen, grab_cupcake332, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
in_agentHandsB, INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, OPEN, OFF, putback_poundcake_kitchentable, kitchen, close_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
in_agentHandsB, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, walktowards_kitchentable123, kitchen, coffeepotcupcakedishwasherkitchencabinetplate
in_agentHandsB, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, walktowards_kitchentable123, kitchen, coffeepotcupcakedishwasherjuicekitchencabinetplate
in_agentHandsB, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, putback_cupcake_kitchentable, kitchen, cupcakejuicekitchentablepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, null, kitchen, cupcakejuicekitchentablepoundcake
