cupcake0_location, juice0_location, poundcake0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, plate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, bookbookplateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, kitchentableplateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, kitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_fridge149, kitchen, fridgejuicekitchentablewine
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, grab_juice333, kitchen, fridgejuicewine
INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, close_fridge149, kitchen, fridgejuicewine
INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, putback_juice_kitchentable, kitchen, fridgejuicekitchentablewine
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juiceplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, OPEN, OFF, grab_poundcake334, kitchen, grab_poundcake334, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, OPEN, OFF, grab_cupcake332, kitchen, close_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
in_agentHandsA, INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_kitchentable123, kitchen, walktowards_kitchentable123, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepoundcake
in_agentHandsA, INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_kitchentable123, kitchen, putback_poundcake_kitchentable, kitchen, cupcakejuicekitchentableplatepoundcake
in_agentHandsA, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, putback_cupcake_kitchentable, kitchen, null, kitchen, cupcakejuicekitchentablepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, null, kitchen, null, kitchen, juicekitchentablepoundcake
