wineglass0_location, cutleryfork0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, bookbook
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, bookbookfridge
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_cutleryfork334, kitchen, bookbookfridge
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_cutleryfork334, kitchen, bookbookfridge
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_cutleryfork334, kitchen, appleappleappleappleappleappleappleappleappleapplekitchentablepoundcakewineglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_wineglass333, kitchen, grab_cutleryfork334, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookcutleryforkkitchentablepoundcakewineglass
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_wineglass333, kitchen, walktowards_dishwasher152, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookcutleryforkkitchentablepoundcakewineglass
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_wineglass333, kitchen, walktowards_dishwasher152, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookcutleryforkkitchentablepoundcakewineglass
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, CLOSED, CLOSED, OFF, grab_wineglass333, kitchen, walktowards_dishwasher152, kitchen, appleappleappleappleappleappleappleappleappleappleapplecutleryforkkitchentablewineglass
in_agentHandsA, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, appleappleappleappleappleappleappleappleappleappleapplecutleryforkkitchentablewineglass
in_agentHandsA, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, appleappleappleappleappleappleappleappleappleappleapplecutleryforkkitchentablewineglass
in_agentHandsA, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, coffeepotcutleryforkwineglass
in_agentHandsA, in_agentHandsB, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcutleryforkdishwasherkitchencabinetplatewineglass
in_agentHandsA, in_agentHandsB, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcutleryforkdishwasherkitchencabinetplatewineglass
in_agentHandsA, in_agentHandsB, CLOSED, OPEN, OFF, putin_wineglass_dishwasher, kitchen, putin_cutleryfork_dishwasher, kitchen, coffeepotcutleryforkdishwasherkitchencabinetplatewineglass
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, OPEN, OFF, null, kitchen, null, kitchen, coffeepotcutleryforkdishwasherkitchencabinetplatewineglass
