cupcake0_location, juice0_location, pudding0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_fridge149, kitchen, applecupcakekitchentableplatepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_dishwasher152, kitchen, applecupcakekitchentableplatepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_dishwasher152, kitchen, applecupcakekitchentableplatepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_dishwasher152, kitchen, applebookkitchencabinetkitchentableplate
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, open_dishwasher152, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, OPEN, OFF, walktowards_livingroom262, kitchen, grab_pudding335, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, OPEN, OFF, walktowards_livingroom262, kitchen, close_dishwasher152, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_bedroom185, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_bedroom185, kitchen, applebookdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_bedroom185, kitchen, appleapplebookcupcakekitchencabinetkitchentablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_bedroom185, kitchen, applecupcakekitchentableplatepoundcakepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, walktowards_bedroom185, kitchen, applecupcakefridgejuicekitchentableplatepoundcakepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, walktowards_bedroom185, kitchen, fridgejuicepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, walktowards_bedroom185, kitchen, fridgejuiceplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, sit_sofa289, livingroom, walktowards_coffeetable221, bedroom, fridgejuicepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_coffeetable221, bedroom, pudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_coffeetable221, bedroom, pudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, putback_pudding_coffeetable, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_cupcake333, kitchen, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_cupcake333, kitchen, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_cupcake333, kitchen, null, bedroom, coffeetablepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, grab_cupcake333, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, null, bedroom, coffeetablepudding
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_coffeetable221, bedroom, null, bedroom, coffeetablepudding
