cupcake0_location, juice0_location, pudding0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_fridge149, kitchen, plateplateplateplate
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, open_fridge149, kitchen, fridgejuice
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_cupcake333, kitchen, close_fridge149, kitchen, fridgejuicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_dishwasher152, kitchen, fridgejuicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_dishwasher152, kitchen, applecupcakekitchentableplatepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_dishwasher152, kitchen, applecupcakekitchentableplatepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_dishwasher152, kitchen, applebookkitchencabinetplate
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, open_dishwasher152, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, OPEN, OFF, walktowards_livingroom262, kitchen, grab_pudding335, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, OPEN, OFF, walktowards_livingroom262, kitchen, close_dishwasher152, kitchen, applebookcoffeepotdishwasherkitchencabinetplatepudding
