juice0_location, wine0_location, pudding0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_kitchen50, bathroom, plate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_bedroom185, kitchen, plateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_bedroom185, kitchen, plateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, grab_book332, kitchen, walktowards_bedroom185, kitchen, plateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_bedroom185, kitchen, fridgeplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_cabinet222, bedroom, fridge
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_cabinet222, bedroom, plateplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, open_cabinet222, bedroom, applecabinetplateplatepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_INSIDE_cabinet, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, grab_pudding335, bedroom, applecabinetplateplatepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, close_cabinet222, bedroom, applecabinetplateplatepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_sofa289, livingroom, walktowards_coffeetable221, bedroom, applecabinetplateplatepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, in_agentHandsA, CLOSED, CLOSED, OFF, sit_sofa289, livingroom, walktowards_coffeetable221, bedroom, applecabinetpudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsB, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_bedroom185, livingroom, putback_pudding_coffeetable, bedroom, coffeetablepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, coffeetablepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, coffeetablepudding
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchen50, bedroom, fridgeplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, fridge
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, fridgekitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, kitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, kitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, open_dishwasher152, kitchen, bookdishwasherjuicekitchencabinetplatewine
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, OPEN, OFF, grab_wine334, kitchen, grab_juice333, kitchen, bookdishwasherjuicekitchencabinetplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, OPEN, OFF, close_dishwasher152, kitchen, close_dishwasher152, kitchen, bookcoffeepotdishwasherjuicekitchencabinetplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_bedroom185, kitchen, bookcoffeepotdishwasherjuicekitchencabinetplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, null, kitchen, walktowards_bedroom185, kitchen, bookdishwasherjuicekitchencabinetplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, null, kitchen, walktowards_bedroom185, kitchen, bookjuicekitchencabinetkitchentablewine
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, null, kitchen, walktowards_bedroom185, kitchen, juicekitchentableplatepoundcake
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_bedroom185, kitchen, fridgejuicekitchentableplatepoundcake
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_bedroom185, kitchen, fridgejuice
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_bedroom185, kitchen, fridgejuiceplate
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, fridgejuice
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, juice
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_n, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, juice
