juice0_location, wine0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, null, livingroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, None
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, bookkitchentable
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_fridge149, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_dishwasher152, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_dishwasher152, kitchen, bookkitchentableplatepoundcake
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, open_dishwasher152, kitchen, appledishwasherjuicekitchencabinetplate
INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, OPEN, OFF, walktowards_livingroom262, kitchen, grab_juice333, kitchen, applecoffeepotdishwasherjuicekitchencabinetplate
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, OPEN, OFF, walktowards_sofa289, livingroom, close_dishwasher152, kitchen, applecoffeepotdishwasherjuicekitchencabinetplate
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_bedroom185, kitchen, applecoffeepotdishwasherjuicekitchencabinetplate
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_bedroom185, kitchen, appledishwasherjuicekitchencabinetplate
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_bedroom185, kitchen, applebookjuicekitchencabinetkitchentable
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_bedroom185, kitchen, bookjuicekitchentableplatepoundcake
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_book332, kitchen, walktowards_bedroom185, kitchen, fridgejuicekitchentableplatepoundcakewine
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, grab_book332, kitchen, walktowards_bedroom185, kitchen, fridgejuicewine
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, in_agentHandsA, CLOSED, CLOSED, OFF, null, kitchen, walktowards_bedroom185, kitchen, fridgejuiceplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, fridgejuicewine
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, juice
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, juice
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, putback_juice_coffeetable, bedroom, coffeetablejuice
