wine0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
