waterglass0_location, wineglass0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchencabinet133, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchencabinet133, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_fridge149, kitchen, cutleryforkkitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_fridge149, kitchen, kitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, open_fridge149, kitchen, fridgekitchentablewineglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, close_fridge149, kitchen, fridgekitchentablewineglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, fridgekitchentablewineglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, close_kitchencabinet133, kitchen, walktowards_waterglass332, kitchen, fridgekitchentablewineglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, open_kitchencabinet133, kitchen, kitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, grab_waterglass332, kitchen, cutleryforkkitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, null, kitchen, close_kitchencabinet133, kitchen, cutleryforkkitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, null, kitchen, walktowards_kitchentable123, kitchen, cutleryforkkitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchentable123, kitchen, waterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, putback_waterglass_kitchentable, kitchen, kitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, grab_wineglass333, kitchen, walktowards_wineglass333, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, CLOSED, OFF, putback_wineglass_kitchentable, kitchen, null, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, null, kitchen, kitchentable
