waterglass0_location, wineglass0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_kitchencabinet133, kitchen, coffeepot
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, open_kitchencabinet133, kitchen, coffeepotcutleryforkdishwasherkitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, close_kitchencabinet133, kitchen, coffeepotcutleryforkdishwasherkitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_fridge149, kitchen, coffeepotcutleryforkdishwasherkitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_fridge149, kitchen, cutleryforkdishwasherkitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_fridge149, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_fridge149, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, fridgekitchentablewineglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, open_kitchencabinet133, kitchen, appleappleappleappleappleappleappleappleappleapplekitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, open_kitchencabinet133, kitchen, appleappleappleappleappleappleappleappleappleapplekitchencabinetwaterglass
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, grab_waterglass332, kitchen, grab_waterglass332, kitchen, appleappleappleappleappleappleappleappleappleapplekitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, close_kitchencabinet133, kitchen, close_kitchencabinet133, kitchen, coffeepotcutleryforkdishwasherkitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchentable123, kitchen, coffeepotcutleryforkdishwasherkitchencabinetwaterglass
in_agentHandsB, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, putback_waterglass_kitchentable, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookkitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookkitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, grab_wineglass333, kitchen, walktowards_wineglass333, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentablewaterglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, grab_wineglass333, kitchen, walktowards_wineglass333, kitchen, appleappleappleappleappleappleappleappleappleappleapplekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, grab_wineglass333, kitchen, grab_wineglass333, kitchen, appleappleappleappleappleappleappleappleappleappleapplefridgekitchentablewineglass
INSIDE_kitchen_ON_kitchentable, in_agentHandsB, OPEN, CLOSED, OFF, null, kitchen, putback_wineglass_kitchentable, kitchen, appleappleappleapplekitchentablewineglass
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, null, kitchen, null, kitchen, appleappleappleappleappleappleappleappleappleappleapplebookkitchentablewaterglasswineglass
