juice0_location, poundcake0_location, pudding0_location, apple0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, grab_pudding336, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, close_kitchencabinet133, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_apple337, kitchen, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_apple337, kitchen, None
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_apple337, kitchen, kitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, in_agentHandsA, INSIDE_kitchen_ON_kitchentable, OPEN, CLOSED, OFF, putin_pudding_fridge, kitchen, grab_apple337, kitchen, applekitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, applekitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, applekitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, applekitchentablewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_fridge149, kitchen, applekitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, CLOSED, OFF, open_dishwasher152, kitchen, walktowards_fridge149, kitchen, applekitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_dishwasher, INSIDE_kitchen_INSIDE_fridge, in_agentHandsB, OPEN, OPEN, OFF, grab_poundcake334, kitchen, putin_apple_fridge, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, OPEN, OFF, close_dishwasher152, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, putin_poundcake_fridge, kitchen, null, kitchen, applefridgekitchentableplatepudding
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, applefridgekitchentableplatepoundcakepudding
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchencabinet133, kitchen, kitchentableplatewine
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, open_kitchencabinet133, kitchen, juicekitchencabinetkitchentable
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_juice333, kitchen, grab_juice333, kitchen, cupcakedishwasherjuicekitchencabinetplate
INSIDE_kitchen_INSIDE_kitchencabinet, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, grab_juice333, kitchen, grab_juice333, kitchen, cupcakedishwasherjuicekitchencabinetplate
in_agentHandsA, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, cupcakedishwasherkitchencabinetplate
