pancake0_location, poundcake0_location, wine0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_kitchen50, livingroom, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, None
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, juicekitchentablepudding
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, bookbookjuicekitchentableplatepudding
INSIDE_bedroom_INSIDE_cabinet, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, bookjuicekitchentableplatepudding
